model,epoch,train_accuracy,test_accuracy,f1_score,train_loss,test_loss,train_time_per_step,eval_time_per_step
model1,1,0.3307789208482049,0.36741549443627963,0.3344132866277883,0.004026305474029627,0.00389626089725178,0.463106023637872,0.4123981237411499
model1,2,0.3923997480579467,0.37770312828049546,0.3500953069252943,0.003516640572795191,0.003685160392026002,0.4084178334788272,0.33449978828430177
model1,3,0.409510812513122,0.3861011967247533,0.35854748866913094,0.0033590083059182366,0.0036084374134064522,0.41144743091181707,0.3355999231338501
model1,4,0.4192735670795717,0.3942893134579047,0.3695242172981758,0.0032845275406574166,0.003567499471716888,0.40247368812561035,0.34239974021911623
model1,5,0.4255196304849885,0.3957589754356498,0.37325239975008656,0.003239906975483659,0.0035419563973823464,0.39678957587794256,0.30459957122802733
model1,6,0.43040100776821333,0.3976485408356078,0.37601758527442103,0.003211360849454176,0.003524501734662902,0.39668415722094086,0.33909995555877687
model1,7,0.4321855973126181,0.39785849254671424,0.37465098048366163,0.003190343091649567,0.0035171177916333576,0.41952634485144363,0.3309998273849487
model1,8,0.4354923367625446,0.4022674784799496,0.3811415750496827,0.003162474378727575,0.003504548982840087,0.40800001119312485,0.321899938583374
model1,9,0.43659458324585343,0.40415704387990764,0.3826472135587093,0.0031602465440664826,0.0035017101849274253,0.4684211580376876,0.38819959163665774
model1,10,0.4376443418013857,0.40331723703548183,0.38215133652983907,0.0031432650518747733,0.0034985204667021892,0.5104458583028693,0.45960078239440916
