model,epoch,train_accuracy,test_accuracy,f1_score,train_loss,test_loss,train_time_per_step,eval_time_per_step
embedding-then-conv1d-bn-scheduler-distilbert-base,1,0.11909510812513122,0.19294562250682343,0.15286770626714105,0.014491381888977249,0.004739009755863604,0.666465257343493,1.427600908279419
embedding-then-conv1d-bn-scheduler-distilbert-base,2,0.14386941003569179,0.18433760235145916,0.13409443232551518,0.004421608928069332,0.004504904085263819,0.6702953200591238,1.4948256015777588
embedding-then-conv1d-bn-scheduler-distilbert-base,3,0.18622716775141718,0.20008398068444258,0.13353060147707793,0.004175135087196051,0.004157747337354123,0.6878074721286171,1.4274542570114135
embedding-then-conv1d-bn-scheduler-distilbert-base,4,0.2131534747008188,0.2895234096157884,0.25477061935523476,0.003896468756405616,0.003892887121685508,0.6822461329008404,1.4447243452072143
embedding-then-conv1d-bn-scheduler-distilbert-base,5,0.23288893554482468,0.288893554482469,0.23904126457115138,0.0037118212943464523,0.003696902819899183,0.6790655914105868,1.4381444215774537
embedding-then-conv1d-bn-scheduler-distilbert-base,6,0.2519420533277346,0.29267268528238505,0.26459476850281793,0.0035723757273305396,0.003623290720692758,0.6799398786143253,1.4336279392242433
embedding-then-conv1d-bn-scheduler-distilbert-base,7,0.2652214990552173,0.32227587654839385,0.2844523190231874,0.00350975678068686,0.003530946419615969,0.6844451678426642,1.4668965101242066
embedding-then-conv1d-bn-scheduler-distilbert-base,8,0.27619147596052906,0.31618727692630694,0.2808495025489782,0.0034494669765778355,0.003478323564843773,0.6591833955363223,1.4166270732879638
embedding-then-conv1d-bn-scheduler-distilbert-base,9,0.2801280705437749,0.32584505563720345,0.2757076126327367,0.003408978153321264,0.0034481852139191245,0.6692568753895006,1.40330650806427
embedding-then-conv1d-bn-scheduler-distilbert-base,10,0.29183287843795924,0.327524669326055,0.28927739722074064,0.0033493686968755153,0.0034329891204833984,0.6585523831216913,1.420933151245117
embedding-then-conv1d-bn-scheduler-distilbert-base,11,0.2951396178878858,0.3504094058366576,0.31783207949844333,0.0033586827391665097,0.0034017041028359344,0.6656242985474435,1.4123003244400025
embedding-then-conv1d-bn-scheduler-distilbert-base,12,0.290520680243544,0.32584505563720345,0.29899302879340434,0.003355287602036384,0.0033801816577498913,0.6671307212428043,1.4302080631256104
embedding-then-conv1d-bn-scheduler-distilbert-base,13,0.3116733151375184,0.3371824480369515,0.3032460275114448,0.003277190125041115,0.0033488026091763635,0.6831243791078266,1.4263010501861573
embedding-then-conv1d-bn-scheduler-distilbert-base,14,0.31665966827629644,0.3340331723703548,0.3054560872370511,0.003251649885149581,0.003339654203475385,0.6537870419652838,1.407050657272339
embedding-then-conv1d-bn-scheduler-distilbert-base,15,0.32185597312618097,0.3577577157253832,0.3207100740514153,0.0032295233720795037,0.0033299027684604372,0.6624887805236014,1.4304545879364015
embedding-then-conv1d-bn-scheduler-distilbert-base,16,0.3182343061095948,0.3613268948141927,0.3299535301916818,0.0032132593944196363,0.003298058871233786,0.6634896805411891,1.4590264081954956
embedding-then-conv1d-bn-scheduler-distilbert-base,17,0.3256875918538736,0.34893974385891247,0.3148579052191386,0.003222889968284208,0.003308883189854691,0.6641057855204532,1.4162113189697265
embedding-then-conv1d-bn-scheduler-distilbert-base,18,0.32553012807054377,0.3529288263699349,0.3291059454161465,0.00321172847608646,0.003308006802602348,0.6511478737780922,1.4281744718551637
embedding-then-conv1d-bn-scheduler-distilbert-base,19,0.32804954860382113,0.3583875708587025,0.3380236765563608,0.003193290368013464,0.0032651924220999575,0.6561227785913568,1.422630286216736
embedding-then-conv1d-bn-scheduler-distilbert-base,20,0.32715725383161876,0.3537686332143607,0.33434217880671396,0.0031768025882399787,0.0032706596058956245,0.6749124464235807,1.4343444585800171
embedding-then-conv1d-bn-scheduler-distilbert-base,21,0.33335082930925886,0.36825530128070544,0.34201327582713215,0.003182357771166878,0.0032679267022731346,0.6728182027214452,1.4716615438461305
embedding-then-conv1d-bn-scheduler-distilbert-base,22,0.3390195255091329,0.3583875708587025,0.32727090228129174,0.0031381130669013357,0.003266223108170289,0.6563027846185785,1.4021108150482178
embedding-then-conv1d-bn-scheduler-distilbert-base,23,0.3385471341591434,0.3564980054587445,0.3260800236872422,0.0031468171533255824,0.0032676564978872456,0.6789845416420385,1.4254746913909913
embedding-then-conv1d-bn-scheduler-distilbert-base,24,0.34663027503674154,0.35355868150325426,0.3221181518170458,0.003096631256292128,0.0032230424650722058,0.6652421449360094,1.4167632579803466
embedding-then-conv1d-bn-scheduler-distilbert-base,25,0.3504618937644342,0.36888515641402475,0.34601776860203354,0.0030740943308915757,0.0032488963895802134,0.6659785760076422,1.413141393661499
