model,epoch,train_accuracy,test_accuracy,f1_score,train_loss,test_loss,train_time_per_step,eval_time_per_step
embedding-then-conv1d-bn-scheduler,1,0.08639512912030232,0.11043460004199034,0.054349534284821074,0.006135265291075033,0.004806862692359413,0.30602605091898066,0.2688002347946167
embedding-then-conv1d-bn-scheduler,2,0.11510602561410875,0.10371614528658409,0.050111227558261466,0.004539130028370872,0.0047193298363870815,0.28884205692692805,0.2578002452850342
embedding-then-conv1d-bn-scheduler,3,0.15557421792987614,0.24795297081671216,0.21794706009796935,0.004393391378431943,0.004487823594049473,0.27744734287261963,0.25239992141723633
embedding-then-conv1d-bn-scheduler,4,0.20003149275666596,0.27713625866050806,0.22772174228208514,0.00416381790085848,0.004221834206365873,0.2761052721425107,0.25089991092681885
embedding-then-conv1d-bn-scheduler,5,0.23404366995591014,0.25152214990552174,0.20791391152220107,0.00392756735154768,0.004049007466628775,0.2817631959915161,0.25069992542266845
embedding-then-conv1d-bn-scheduler,6,0.2514171740499685,0.28448456854923365,0.25155833214125045,0.003775305271699302,0.0038858236146278547,0.2763684109637612,0.2490999698638916
embedding-then-conv1d-bn-scheduler,7,0.2630170060885996,0.29603191266008816,0.26279345035381396,0.0036447892137968364,0.0038324543940728138,0.28992098883578654,0.26600003242492676
embedding-then-conv1d-bn-scheduler,8,0.27650640352718875,0.2979214780600462,0.27482096818485346,0.0035807503238335994,0.0037315104554837275,0.2774736379322253,0.25279989242553713
embedding-then-conv1d-bn-scheduler,9,0.29088809573798025,0.30002099517111064,0.2799692398838223,0.0035180587766552433,0.003692382202412735,0.2886053072778802,0.2774998426437378
embedding-then-conv1d-bn-scheduler,10,0.29498215410455597,0.2781860172160403,0.24973477874042446,0.0034608679009965554,0.0037629357311321663,0.27982320911005926,0.25559999942779543
