model,epoch,train_accuracy,test_accuracy,f1_score,train_loss,test_loss,train_time_per_step,eval_time_per_step
model1,1,0.2978689901322696,0.26957799706067603,0.2306898711045248,0.004146412731393305,0.00452630684552462,0.5527894685142919,0.2818999052047729
model1,2,0.3814822590804115,0.3747638043250052,0.3365589691830102,0.003891428278294927,0.004142238291376608,0.3102368304603978,0.28409998416900634
model1,3,0.41024564350199455,0.3676254461473861,0.3319530709018175,0.0037716012803942073,0.004098219879530018,0.3139473827261674,0.2881000995635986
model1,4,0.44577997060676045,0.3795926936804535,0.3444949256649769,0.0036743070406996853,0.004093660443314179,0.3353420684212132,0.27900009155273436
model1,5,0.48729792147806006,0.3917698929246273,0.35058766941478037,0.0035859346452340995,0.004094945616064366,0.30989471234773336,0.2822000980377197
model1,6,0.5272937224438379,0.3865211001469662,0.34741055016609984,0.0035061291504026385,0.004100591726421234,0.31026315689086914,0.2871002197265625
model1,7,0.5696514801595634,0.39659878228007556,0.3555556926125891,0.0034407566706473004,0.004111991217975829,0.3056841837732415,0.2871000528335571
model1,8,0.6176254461473861,0.3936594583245853,0.3535625880618848,0.003375367509600447,0.004139007176517964,0.3162105334432502,0.2952000617980957
model1,9,0.6707957169850934,0.3980684442578207,0.35612559224016954,0.00330541632817669,0.0041643535042169486,0.3072105269683035,0.2833000421524048
model1,10,0.7095318076842326,0.39659878228007556,0.35558354310922546,0.003252845901214548,0.004183115589751332,0.3150789674959685,0.3349001407623291
