model,epoch,train_accuracy,test_accuracy,f1_score,train_loss,test_loss,train_time_per_step,eval_time_per_step
model1,1,0.17746168381272306,0.19966407726222968,0.0843608143709558,0.010835035943994997,0.00444668379997271,1.405999967926427,1.2980000495910644
model1,2,0.2403422212891035,0.26453915599412137,0.1583543414397389,0.004167255454520931,0.004255719978769812,1.3877004698703164,1.290999984741211
model1,3,0.27414444677724126,0.31072853243753934,0.19607510008858295,0.003977045607671952,0.004008597594811189,1.3874734828346653,1.2929999828338623
model1,4,0.3099412135208902,0.3334033172370355,0.2423916192550685,0.0037668367443829554,0.0038211049589068607,1.3951052741000527,1.268872284889221
model1,5,0.3349254671425572,0.3583875708587025,0.2708416342461252,0.003632132405872333,0.003678021149652334,1.3881620921586688,1.3034001588821411
model1,6,0.3523514591643922,0.39554902372454337,0.33123800358470934,0.003519186008985168,0.0035362407086452666,1.403947309443825,1.2661998748779297
model1,7,0.36830778920848206,0.3984883476800336,0.3276575551759017,0.003426128097774851,0.0034461177348990464,1.3619522797433954,1.2574001789093017
model1,8,0.38442158303590174,0.41675414654629434,0.35810433516802137,0.0033441515572552117,0.0033657146856711237,1.3604999278721057,1.2629000186920165
model1,9,0.38778081041360485,0.4226327944572748,0.37281430798880716,0.0033160997130353737,0.0033426190934310357,1.3576316017853587,1.261300015449524
model1,10,0.39581146336342643,0.43040100776821333,0.38866680239984963,0.0032833544691895926,0.003320277850967782,1.3630000101892572,1.2614999294281006
