model,epoch,train_accuracy,test_accuracy,f1_score,train_loss,test_loss,train_time_per_step,eval_time_per_step
fc-with-batch-normalization-bert-base-nlpaug,1,0.29167541465462943,0.2989712366155784,0.29179632980559245,0.003921874695006424,0.004128686825617907,0.6354014685279444,1.3224000453948974
fc-with-batch-normalization-bert-base-nlpaug,2,0.32873189166491706,0.3058996430820911,0.2751516579857721,0.003789829846167299,0.0040391573704718145,0.6656578841962313,1.2682339191436767
fc-with-batch-normalization-bert-base-nlpaug,3,0.34715515431450766,0.3522989712366156,0.32245213073954,0.003747498365903186,0.004031913810584216,0.6704210293920416,1.2926000118255616
fc-with-batch-normalization-bert-base-nlpaug,4,0.3657358807474281,0.3367625446147386,0.3192343115921292,0.0037179454932712392,0.004009264896528175,0.6686315599240755,1.2886999607086183
fc-with-batch-normalization-bert-base-nlpaug,5,0.3795402057526769,0.3394919168591224,0.30617499317605024,0.0036917720776056756,0.004041747187907371,0.6614449212425634,1.2972001791000367
fc-with-batch-normalization-bert-base-nlpaug,6,0.3925047239134999,0.3577577157253832,0.3385406344287733,0.003674158980159131,0.004012374374362418,0.6639947577526695,1.3003999948501588
fc-with-batch-normalization-bert-base-nlpaug,7,0.4012177199244174,0.39785849254671424,0.37736111704880676,0.00365378211306945,0.004006761351278442,0.6258623788231298,1.230999755859375
fc-with-batch-normalization-bert-base-nlpaug,8,0.40945832458534537,0.3810623556581986,0.35214738406401946,0.00363499008755761,0.0039891695340541185,0.6271315687581113,1.250828003883362
fc-with-batch-normalization-bert-base-nlpaug,9,0.40993071593533487,0.360487087969767,0.3304908670195654,0.0036228827986676177,0.004006071248876431,0.6898231945539776,1.3242997884750367
fc-with-batch-normalization-bert-base-nlpaug,10,0.4174364896073903,0.38946042410245646,0.3676766297748058,0.0036091208082523864,0.004027659843480064,0.648605183551186,1.2356997013092041
