model,epoch,train_accuracy,test_accuracy,f1_score,train_loss,test_loss,train_time_per_step,eval_time_per_step
fc-with-batch-normalization-bert-base,1,0.3029603191266009,0.3611169431030863,0.35646658166823486,0.0039286956100335725,0.004144347292171064,0.6643039552788985,1.290863847732544
fc-with-batch-normalization-bert-base,2,0.3418013856812933,0.29876128490447196,0.26938633701809495,0.0038011044407751837,0.004069069216237858,0.6393140554428101,1.3673008918762206
fc-with-batch-normalization-bert-base,3,0.34804744908671004,0.3478899853033802,0.3227398788396853,0.003756402302459086,0.004010005480798132,0.6446620978807148,1.3686086177825927
fc-with-batch-normalization-bert-base,4,0.3629015326474911,0.30694940163762335,0.2789696563660228,0.0037244929127049453,0.004002858554768808,0.6413661304273104,1.3794800281524657
fc-with-batch-normalization-bert-base,5,0.3837917279025824,0.34809993701448666,0.31964223670649483,0.0036935020639394327,0.003995771971715991,0.6531023728220087,1.4613551139831542
fc-with-batch-normalization-bert-base,6,0.39791098047449086,0.3233256351039261,0.3052572541644228,0.0036659552010823116,0.0040070231461910395,0.6603078152004042,1.3428271293640137
fc-with-batch-normalization-bert-base,7,0.4040520680243544,0.3741339491916859,0.35678152934899604,0.003653336486069565,0.004005792334678918,0.6488443362085443,1.381894588470459
fc-with-batch-normalization-bert-base,8,0.41397228637413397,0.387360906991392,0.36183379852684544,0.003629896956383118,0.003976968639717367,0.6371136339087236,1.3433887958526611
fc-with-batch-normalization-bert-base,9,0.41890615158513544,0.3648960739030023,0.3435272103383199,0.0036217927895196966,0.0040150549440305825,0.6386500910708779,1.3863395214080811
fc-with-batch-normalization-bert-base,10,0.4264644131849675,0.39281965148015957,0.3786247781407733,0.003599536686716474,0.003967555936284358,0.6290418348814312,1.3213709115982055
fc-with-batch-normalization-bert-base,11,0.42788158723493597,0.36699559101406676,0.34104274876826274,0.003590864955490436,0.00402799171733676,0.6166663420827765,1.3297309160232544
fc-with-batch-normalization-bert-base,12,0.44126600881797184,0.39785849254671424,0.3799880974646398,0.0035734357902439556,0.003997510079698805,0.6212764539216694,1.36431782245636
fc-with-batch-normalization-bert-base,13,0.4468297291622927,0.35670795716985093,0.3372034733093837,0.003561748718479564,0.004038503684092539,0.647026212591874,1.384174394607544
fc-with-batch-normalization-bert-base,14,0.44934914969557,0.3714045769473021,0.338728792041923,0.003550581838962988,0.003982891061339537,0.6496814865815012,1.3954630136489867
fc-with-batch-normalization-bert-base,15,0.46373084190636155,0.412345160613059,0.3988485047957416,0.0035020243888789306,0.0039376706454324895,0.6657426608236212,1.4303987264633178
fc-with-batch-normalization-bert-base,16,0.4811043460004199,0.42557211841276504,0.4132590786141831,0.0034740051751674383,0.003957296128586363,0.6533003167102212,1.4162973165512085
fc-with-batch-normalization-bert-base,17,0.49606340541675414,0.4152844845685492,0.40675127675947553,0.0034506456293329933,0.0039680700654521,0.6613768401898836,1.4029670238494873
fc-with-batch-normalization-bert-base,18,0.5001049758555532,0.425992021834978,0.4189414081494145,0.0034422938835713484,0.003975720283441025,0.6574794681448686,1.3985291004180909
fc-with-batch-normalization-bert-base,19,0.50635103926097,0.42830149065714884,0.4128738607531972,0.003427977625021733,0.003983579962388222,0.6419591088044015,1.3496679782867431
fc-with-batch-normalization-bert-base,20,0.5163237455385261,0.4280915389460424,0.4228272369374396,0.0034058342930050724,0.00397207883133649,0.6439139466536673,1.4181549310684205
fc-with-batch-normalization-bert-base,21,0.5263489397438589,0.42179298761284906,0.4075664231081377,0.003389136551709428,0.003978764437688091,0.6633607462832802,1.3998807668685913
fc-with-batch-normalization-bert-base,22,0.5343795926936804,0.4293512492126811,0.4241520314157211,0.003377524664640777,0.003977006307149819,0.6508624302713495,1.3795744895935058
fc-with-batch-normalization-bert-base,23,0.542147806004619,0.431660718034852,0.4223032925895806,0.0033675129614330855,0.003977116906740524,0.6435450503700658,1.4053802728652953
fc-with-batch-normalization-bert-base,24,0.550913289943313,0.42914129750157465,0.4214506155662327,0.003354156809445817,0.003977561132161527,0.6588523952584517,1.3788225173950195
fc-with-batch-normalization-bert-base,25,0.5568444257820702,0.43921897963468404,0.43154527855487174,0.003344610818363953,0.003993132298117347,0.6394711481897455,1.37652428150177
