model,epoch,train_accuracy,test_accuracy,f1_score,train_loss,test_loss,train_time_per_step,eval_time_per_step
fc-with-batch-normalization-bert-tiny-nlpaug,1,0.2431240814612639,0.2991811883266849,0.28730759766021036,0.0040212715345347054,0.004183602888694762,0.2902631194967973,0.2534998893737793
fc-with-batch-normalization-bert-tiny-nlpaug,2,0.285114423682553,0.2802855343271048,0.2668276034073953,0.0038970163607832614,0.0041454196752131345,0.28463159736834076,0.2500999212265015
fc-with-batch-normalization-bert-tiny-nlpaug,3,0.2905731681713206,0.2769263069494016,0.25849394813489107,0.0038571472919315146,0.004123440590721706,0.2922368237846776,0.25270001888275145
fc-with-batch-normalization-bert-tiny-nlpaug,4,0.2979739659878228,0.28532437539365946,0.2690049077352783,0.003831627963096335,0.0041235314430670906,0.28865358076597514,0.251000189781189
fc-with-batch-normalization-bert-tiny-nlpaug,5,0.30836657568759185,0.32038631114843585,0.30253481378653796,0.003809418362678161,0.004110809962288462,0.2901841025603445,0.2570003032684326
fc-with-batch-normalization-bert-tiny-nlpaug,6,0.32075372664287216,0.31114843585975227,0.2996794914919408,0.003780742953510913,0.0041149894955427035,0.2863683826044986,0.2543997287750244
fc-with-batch-normalization-bert-tiny-nlpaug,7,0.3299391140037791,0.3241654419483519,0.30928315994464645,0.0037662517165977516,0.0041078407424551934,0.2966842902334113,0.2760999441146851
fc-with-batch-normalization-bert-tiny-nlpaug,8,0.3464203233256351,0.3317237035481839,0.30935248643892876,0.0037473036215231745,0.004110230909984652,0.2976577972110949,0.254000186920166
fc-with-batch-normalization-bert-tiny-nlpaug,9,0.35497585555322275,0.3361326894814193,0.32217356255391094,0.003733421245493259,0.004099435849322908,0.29068412278827865,0.26590015888214114
fc-with-batch-normalization-bert-tiny-nlpaug,10,0.3643187066974596,0.33046399328154524,0.31065291691874924,0.003715351139475462,0.0041075330958906,0.31107898134934275,0.27509982585906984
fc-with-batch-normalization-bert-tiny-nlpaug,11,0.3643187066974596,0.32962418643711944,0.31608768527193926,0.0037016921025375695,0.004091910772305588,0.2918157514772917,0.2591999530792236
fc-with-batch-normalization-bert-tiny-nlpaug,12,0.3707747218139828,0.3355028343480999,0.3144140434111455,0.0036822148175793185,0.004105912945787621,0.29660527957113164,0.2580000400543213
fc-with-batch-normalization-bert-tiny-nlpaug,13,0.3875183707747218,0.34285114423682556,0.3345554770797429,0.0036621006777024733,0.004105721755411203,0.29465790171372264,0.2664000988006592
fc-with-batch-normalization-bert-tiny-nlpaug,14,0.3971761494856183,0.34012177199244176,0.32771721622898786,0.00364201711602204,0.004099922272279536,0.2949472665786743,0.25120010375976565
fc-with-batch-normalization-bert-tiny-nlpaug,15,0.3984883476800336,0.35355868150325426,0.3430299861237428,0.003626433886476557,0.004114013270823214,0.2983947615874441,0.256099534034729
fc-with-batch-normalization-bert-tiny-nlpaug,16,0.4197459584295612,0.3598572328364476,0.3474038516617187,0.0035779594924553538,0.0041018033913647,0.29426314328846176,0.2571000337600708
fc-with-batch-normalization-bert-tiny-nlpaug,17,0.4501889565399958,0.35670795716985093,0.3465905401993297,0.003541293844765233,0.004103041736363313,0.3069210617165816,0.2713998556137085
fc-with-batch-normalization-bert-tiny-nlpaug,18,0.4540205752676884,0.3537686332143607,0.34020533932425134,0.0035197294774537025,0.0041044698201030735,0.29702640834607574,0.25970001220703126
fc-with-batch-normalization-bert-tiny-nlpaug,19,0.47302120512282175,0.36426621876968296,0.3544687531052217,0.003501534368119369,0.004109919984726602,0.3039999572854293,0.27619998455047606
fc-with-batch-normalization-bert-tiny-nlpaug,20,0.48792777661137937,0.3667856393029603,0.35462907050562875,0.0034740083912904087,0.0041139793826481036,0.2983946486523277,0.2564999580383301
fc-with-batch-normalization-bert-tiny-nlpaug,21,0.49973756036111694,0.36552592903632164,0.35715664642737766,0.0034550074304123776,0.004115953806841696,0.3058420796143381,0.27520003318786623
fc-with-batch-normalization-bert-tiny-nlpaug,22,0.5070858702498425,0.37287423892504723,0.3627612185604708,0.0034419582679996014,0.004120673723839522,0.3044472932815552,0.2719003677368164
fc-with-batch-normalization-bert-tiny-nlpaug,23,0.5186857022884737,0.3707747218139828,0.36262680326292057,0.0034298409428036867,0.004121289292278846,0.29865781884444387,0.26870012283325195
fc-with-batch-normalization-bert-tiny-nlpaug,24,0.5279760655049338,0.3720344320806215,0.3642879040815449,0.003412853387531903,0.004129618850546225,0.31178938087664154,0.26190030574798584
fc-with-batch-normalization-bert-tiny-nlpaug,25,0.5345895444047869,0.3726642872139408,0.3638563749421627,0.0034052149202802116,0.004132700171661858,0.30239465362147283,0.27720022201538086
