model,epoch,train_accuracy,test_accuracy,f1_score,train_loss,test_loss,train_time_per_step,eval_time_per_step
fc-with-batch-normalization-distilbert-base-nlpaug,1,0.10686542095318077,0.12618097837497375,0.05381255308085663,0.01678284830639599,0.004827628635243911,0.6489723356146562,1.4233970642089844
fc-with-batch-normalization-distilbert-base-nlpaug,2,0.09290363216460214,0.1102246483308839,0.03989385360689866,0.004577781394227273,0.0048053588983318326,0.6607091238624171,1.4286777019500732
fc-with-batch-normalization-distilbert-base-nlpaug,3,0.10796766743648961,0.18433760235145916,0.12788126385593154,0.004538167356418607,0.00469164565008477,0.6613683324111136,1.456928014755249
fc-with-batch-normalization-distilbert-base-nlpaug,4,0.1144236825530128,0.13499895024144445,0.0903878879699523,0.004414673728049865,0.004510429609780449,0.6618597131026419,1.4005684852600098
fc-with-batch-normalization-distilbert-base-nlpaug,5,0.1250787318916649,0.175309678773882,0.08697359780199464,0.004293268064278253,0.004366353207367347,0.6809914864991841,1.407257080078125
fc-with-batch-normalization-distilbert-base-nlpaug,6,0.14843585975225698,0.17866890615158512,0.09636674544143767,0.004178978973593302,0.004224909320489314,0.6624090671539307,1.4562337875366211
fc-with-batch-normalization-distilbert-base-nlpaug,7,0.16297501574637832,0.1954650430401008,0.12339103694797272,0.004121645074318167,0.004179452137863989,0.6661945330469232,1.4201168298721314
fc-with-batch-normalization-distilbert-base-nlpaug,8,0.17137308419063615,0.21289103506193577,0.1447249086068684,0.004079073848980654,0.004142548440760633,0.6635258887943468,1.4084858179092408
fc-with-batch-normalization-distilbert-base-nlpaug,9,0.1766218769682973,0.22947722023934494,0.15456862777106306,0.0040308219368358185,0.0040793020185141814,0.6595978736877441,1.4512828826904296
fc-with-batch-normalization-distilbert-base-nlpaug,10,0.17866890615158512,0.23115683392819653,0.15629779567773164,0.004019665537875614,0.004018204717257682,0.6627892067557887,1.4105146408081055
fc-with-batch-normalization-distilbert-base-nlpaug,11,0.18554482469032121,0.23955490237245433,0.1784448298036042,0.0040033662829758515,0.004033066984637555,0.6788332587794254,1.4690787076950074
fc-with-batch-normalization-distilbert-base-nlpaug,12,0.188274196934705,0.24375393659458325,0.17977335628606866,0.003989174301925137,0.004024685517895154,0.6770282983779907,1.4483663082122802
fc-with-batch-normalization-distilbert-base-nlpaug,13,0.18570228847365106,0.25887045979424733,0.19681409169981637,0.003954430888386401,0.004036125054560663,0.6745128631591797,1.409918737411499
fc-with-batch-normalization-distilbert-base-nlpaug,14,0.19289313457904683,0.23178668906151584,0.18217455766137258,0.003961161051180942,0.003982170774935174,0.6681313075517353,1.4085926771163941
fc-with-batch-normalization-distilbert-base-nlpaug,15,0.18937644341801385,0.2527818601721604,0.1978609579006237,0.003913746976612146,0.003897596927292828,0.6831084113372,1.4433652400970458
fc-with-batch-normalization-distilbert-base-nlpaug,16,0.1974070963678354,0.2527818601721604,0.18581098827804,0.003933296336512993,0.0038869704815762247,0.6799125294936331,1.4463977336883544
fc-with-batch-normalization-distilbert-base-nlpaug,17,0.19168591224018475,0.23556581986143188,0.15567264033142558,0.0038927537151527284,0.003882028639579355,0.6823262101725528,1.4201526165008544
fc-with-batch-normalization-distilbert-base-nlpaug,18,0.19635733781230316,0.2519420533277346,0.19050577681479058,0.003883840367995764,0.0039057792196648226,0.6486106483559859,1.3652355194091796
fc-with-batch-normalization-distilbert-base-nlpaug,19,0.20365315977325216,0.22716775141717405,0.1590244851490506,0.0038765561998628803,0.0038549272848381957,0.6412434640683626,1.3551179885864257
fc-with-batch-normalization-distilbert-base-nlpaug,20,0.1909510812513122,0.2802855343271048,0.21257274593047357,0.003871499046717725,0.003863531652679219,0.6439764813372963,1.3709438562393188
fc-with-batch-normalization-distilbert-base-nlpaug,21,0.2131009867730422,0.28259500314927566,0.215030139451888,0.0038517004060014417,0.0038565606748559708,0.6419893691414281,1.3555291652679444
fc-with-batch-normalization-distilbert-base-nlpaug,22,0.19856183077892084,0.2500524879277766,0.17389508693347192,0.0038644429667767373,0.003835973508363508,0.6654650474849501,1.4427658319473267
fc-with-batch-normalization-distilbert-base-nlpaug,23,0.1945727482678984,0.25761074952760865,0.19774225117254923,0.0038509877219111035,0.003847861525243054,0.6851456353538915,1.4370148420333861
fc-with-batch-normalization-distilbert-base-nlpaug,24,0.20774721813982783,0.2901532647491077,0.22521254686414502,0.0038353293639833176,0.0038211869262432616,0.6815281416240492,1.408502984046936
fc-with-batch-normalization-distilbert-base-nlpaug,25,0.21577787108964938,0.24879277766113794,0.1903717342852353,0.0038248565100382137,0.0037908526546134684,0.6583014789380526,1.3801089525222778
