2023-03-24 14:21:20,051 INFO    MainThread:20564 [wandb_setup.py:_flush():76] Configure stats pid to 20564
2023-03-24 14:21:20,052 INFO    MainThread:20564 [wandb_setup.py:_flush():76] Loading settings from C:\Users\bruno\.config\wandb\settings
2023-03-24 14:21:20,052 INFO    MainThread:20564 [wandb_setup.py:_flush():76] Loading settings from z:\npr\nlp-mc-1\notebooks\wandb\settings
2023-03-24 14:21:20,052 INFO    MainThread:20564 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-24 14:21:20,052 INFO    MainThread:20564 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-24 14:21:20,052 INFO    MainThread:20564 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-24 14:21:20,052 INFO    MainThread:20564 [wandb_init.py:_log_setup():506] Logging user logs to z:\npr\nlp-mc-1\notebooks\wandb\run-20230324_142120-nsmulfq6\logs\debug.log
2023-03-24 14:21:20,052 INFO    MainThread:20564 [wandb_init.py:_log_setup():507] Logging internal logs to z:\npr\nlp-mc-1\notebooks\wandb\run-20230324_142120-nsmulfq6\logs\debug-internal.log
2023-03-24 14:21:20,052 INFO    MainThread:20564 [wandb_init.py:init():546] calling init triggers
2023-03-24 14:21:20,053 INFO    MainThread:20564 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-24 14:21:20,053 INFO    MainThread:20564 [wandb_init.py:init():568] re-initializing run, found existing run on stack: v2jhd2sx
2023-03-24 14:21:20,054 INFO    MainThread:20564 [wandb_run.py:_finish():1854] finishing run 22hs_i4ds20/nlp-mc-1/v2jhd2sx
2023-03-24 14:21:20,056 ERROR   MainThread:20564 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2023-03-24 14:21:20,056 INFO    MainThread:20564 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-24 14:21:20,056 INFO    MainThread:20564 [wandb_init.py:_jupyter_teardown():434] cleaning up jupyter logic
2023-03-24 14:21:20,056 INFO    MainThread:20564 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-24 14:21:20,056 INFO    MainThread:20564 [wandb_run.py:_restore():2066] restore
2023-03-24 14:21:20,056 INFO    MainThread:20564 [wandb_run.py:_restore():2072] restore done
2023-03-24 14:21:24,598 INFO    MainThread:20564 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2023-03-24 14:21:24,598 INFO    MainThread:20564 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2023-03-24 14:21:24,601 INFO    MainThread:20564 [wandb_run.py:_footer_sync_info():3380] logging synced files
2023-03-24 14:21:24,605 INFO    MainThread:20564 [wandb_init.py:init():602] starting backend
2023-03-24 14:21:24,605 INFO    MainThread:20564 [wandb_init.py:init():606] setting up manager
2023-03-24 14:21:24,612 INFO    MainThread:20564 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-24 14:21:24,614 INFO    MainThread:20564 [wandb_init.py:init():613] backend started and connected
2023-03-24 14:21:24,615 INFO    MainThread:20564 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-03-24 14:21:24,615 INFO    MainThread:20564 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-24 14:21:24,615 INFO    MainThread:20564 [wandb_init.py:init():701] updated telemetry
2023-03-24 14:21:24,654 INFO    MainThread:20564 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-24 14:21:26,057 INFO    MainThread:20564 [wandb_run.py:_on_init():2133] communicating current version
2023-03-24 14:21:26,184 INFO    MainThread:20564 [wandb_run.py:_on_init():2142] got version response 
2023-03-24 14:21:26,184 INFO    MainThread:20564 [wandb_init.py:init():789] starting run threads in backend
2023-03-24 14:21:26,308 INFO    MainThread:20564 [wandb_run.py:_console_start():2114] atexit reg
2023-03-24 14:21:26,308 INFO    MainThread:20564 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-24 14:21:26,308 INFO    MainThread:20564 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-24 14:21:26,308 INFO    MainThread:20564 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-24 14:21:26,309 INFO    MainThread:20564 [wandb_init.py:init():831] run started, returning control to user process
